symbol,exchange,datetime,open,high,low,close,volume,open_interest,strategy
ethusdt,BINANCE,2021-02-08 17:00:00,1632.84,1649.67,1625.66,1628.28,29176.592,0.0,1
ethusdt,BINANCE,2021-02-08 18:00:00,1628.27,1648.0,1625.39,1647.61,28799.22854,0.0,1
ethusdt,BINANCE,2021-02-08 19:00:00,1647.97,1665.0,1647.82,1660.48,47289.39767,0.0,1
ethusdt,BINANCE,2021-02-08 20:00:00,1660.63,1711.75,1642.17,1711.04,103704.7138,0.0,1
ethusdt,BINANCE,2021-02-08 21:00:00,1711.04,1725.0,1675.24,1682.49,127968.69208,0.0,1
ethusdt,BINANCE,2021-02-08 22:00:00,1682.49,1722.0,1681.65,1709.41,79632.46389,0.0,1
ethusdt,BINANCE,2021-02-08 23:00:00,1709.42,1757.0,1705.84,1734.79,121726.30858,0.0,1
ethusdt,BINANCE,2021-02-09 00:00:00,1734.86,1775.57,1711.0,1712.58,119697.59356,0.0,1
ethusdt,BINANCE,2021-02-09 01:00:00,1712.58,1725.68,1698.74,1707.0,54210.55136,0.0,1
ethusdt,BINANCE,2021-02-09 02:00:00,1707.0,1715.23,1679.65,1696.0,55160.16898,0.0,1
ethusdt,BINANCE,2021-02-09 03:00:00,1695.99,1707.61,1687.78,1695.96,43213.36231,0.0,1
ethusdt,BINANCE,2021-02-09 04:00:00,1695.91,1735.46,1691.32,1719.97,44196.29132,0.0,1
ethusdt,BINANCE,2021-02-09 05:00:00,1719.81,1722.18,1696.24,1698.2,41998.72182,0.0,1
ethusdt,BINANCE,2021-02-09 06:00:00,1698.03,1720.21,1697.01,1714.58,28225.80896,0.0,1
ethusdt,BINANCE,2021-02-09 07:00:00,1714.52,1752.81,1706.23,1750.15,87840.30996,0.0,0
ethusdt,BINANCE,2021-02-09 08:00:00,1749.68,1766.0,1731.68,1753.07,66984.5013,0.0,0
ethusdt,BINANCE,2021-02-09 09:00:00,1753.0,1753.01,1726.76,1733.33,40690.20541,0.0,1
ethusdt,BINANCE,2021-02-09 10:00:00,1733.3,1733.44,1708.49,1724.27,37375.23067,0.0,1
ethusdt,BINANCE,2021-02-09 11:00:00,1724.33,1737.81,1711.5,1735.04,32390.63967,0.0,1
ethusdt,BINANCE,2021-02-09 12:00:00,1735.2,1749.47,1727.54,1737.49,41878.39488,0.0,1
ethusdt,BINANCE,2021-02-09 13:00:00,1737.4,1748.68,1729.62,1742.63,30581.26417,0.0,0
ethusdt,BINANCE,2021-02-09 14:00:00,1742.48,1768.6,1731.07,1768.6,52655.61963,0.0,-1
ethusdt,BINANCE,2021-02-09 15:00:00,1768.62,1770.0,1741.07,1750.82,58578.82352,0.0,0
ethusdt,BINANCE,2021-02-09 16:00:00,1750.5,1812.11,1750.49,1803.0,133279.11671,0.0,-1
ethusdt,BINANCE,2021-02-09 17:00:00,1803.0,1821.88,1756.92,1774.03,79570.8566,0.0,-1
ethusdt,BINANCE,2021-02-09 18:00:00,1774.09,1778.46,1725.01,1734.45,70822.33061,0.0,1
ethusdt,BINANCE,2021-02-09 19:00:00,1734.1,1759.88,1732.17,1753.4,48823.49894,0.0,0
ethusdt,BINANCE,2021-02-09 20:00:00,1753.4,1769.23,1722.25,1730.53,56330.15131,0.0,1
